iso3,year,gdp_usd,gdp_usd_log,gdp_real_growth_pct,exports_pct_gdp,imports_pct_gdp,net_exports_pct_gdp,gross_capital_form_pct_gdp,household_consump_pct_gdp,govt_consump_pct_gdp,inflation_cpi_pct,unemployment_pct,population_total,population_growth_pct,energy_use,political_instability,arrivals,departures,exports_pct_gdp_lag1,imports_pct_gdp_lag1,gross_capital_form_pct_gdp_lag1,household_consump_pct_gdp_lag1,govt_consump_pct_gdp_lag1,inflation_cpi_pct_lag1,unemployment_pct_lag1,gdp_real_growth_pct_lag1
USA,1990,5.96314E+12,29.41661897,1.885965583,9.254732068,10.56033529,-1.305603219,21.52923022,63.87559985,15.90077315,5.39795644,,249623000,,7669.451269,,,,,,,,,,,
USA,1991,6.15813E+12,29.44879411,-0.108312882,9.660905122,10.125543,-0.464637879,20.11062126,64.03647926,16.31758607,4.234963965,6.8,252981000,1.345228605,7629.847154,,,,9.254732068,10.56033529,21.52923022,63.87559985,15.90077315,5.39795644,,1.885965583
USA,1992,6.52033E+12,29.50594564,3.522497177,9.708914906,10.2416796,-0.532764691,20.07756666,64.37651056,16.07868746,3.028819678,7.5,256514000,1.396547567,7675.636556,,,,9.660905122,10.125543,20.11062126,64.03647926,16.31758607,4.234963965,6.8,-0.108312882
USA,1993,6.85856E+12,29.55651848,2.751795866,9.547180392,10.49743831,-0.950257919,20.39361329,64.91136112,15.64526893,2.951656966,6.9,259919000,1.327412929,7708.101611,,,,9.708914906,10.2416796,20.07756666,64.37651056,16.07868746,3.028819678,7.5,3.522497177
USA,1994,7.28724E+12,29.61714544,4.029022726,9.893147416,11.16231175,-1.269164331,21.27908304,64.78402785,15.20605343,2.607441592,6.119,263126000,1.233845929,7755.082521,,,,9.547180392,10.49743831,20.39361329,64.91136112,15.64526893,2.951656966,6.9,2.751795866
USA,1995,7.63975E+12,29.66438587,2.684430734,10.63922388,11.81415777,-1.174933889,21.27266223,64.95750057,14.94477109,2.805419689,5.65,266278000,1.197905186,7760.890353,,79732000,74031000,9.893147416,11.16231175,21.27908304,64.78402785,15.20605343,2.607441592,6.119,4.029022726
USA,1996,8.07312E+12,29.71956139,3.772772691,10.74663556,11.94043643,-1.193800862,21.7018026,64.96366585,14.52832002,2.9312042,5.451,269394000,1.170205575,7841.592886,0.935005784,82756000,76803000,10.63922388,11.81415777,21.27266223,64.95750057,14.94477109,2.805419689,5.65,2.684430734
USA,1997,8.57755E+12,29.78016967,4.447127938,11.11975771,12.30857009,-1.188812379,22.4097155,64.54976898,14.22933956,2.337689937,5,272657000,1.211237073,7825.236638,,82525000,78481000,10.74663556,11.94043643,21.7018026,64.96366585,14.52832002,2.9312042,5.451,3.772772691
USA,1998,9.06282E+12,29.83520111,4.48313335,10.51526253,12.31063145,-1.795368923,22.95833624,64.85012331,13.98690937,1.552279099,4.511,275854000,1.172535457,7800.439491,0.879612982,74767000,82758000,11.11975771,12.30857009,22.4097155,64.54976898,14.22933956,2.337689937,5,4.447127938
USA,1999,9.63117E+12,29.89602604,4.788425049,10.30933722,13.00423251,-2.694895284,23.41913321,65.24395993,14.03181254,2.188027197,4.219,279040000,1.154958783,7920.053923,,75796000,84540000,10.51526253,12.31063145,22.95833624,64.85012331,13.98690937,1.552279099,4.511,4.48313335
USA,2000,1.0251E+13,29.9583917,4.07758576,10.69277273,14.41021283,-3.717440097,23.6783569,66.01512718,14.02394626,3.376857271,3.992,282162411,1.1189833,8055.145489,1.082809091,78343000,87973000,10.30933722,13.00423251,23.41913321,65.24395993,14.03181254,2.188027197,4.219,4.788425049
USA,2001,1.05819E+13,29.99016885,0.955538342,9.703448209,13.26373481,-3.560286598,22.17672222,66.84793481,14.53563901,2.826171119,4.731,284968955,0.994655521,7824.243939,,70975000,84755000,10.69277273,14.41021283,23.6783569,66.01512718,14.02394626,3.376857271,3.992,4.07758576
USA,2002,1.09291E+13,30.0224508,1.700447328,9.131385654,13.15499856,-4.023612906,21.72266941,67.24191032,15.05903318,1.586031627,5.783,287625193,0.932114868,7840.460959,0.285476923,64434000,80883000,9.703448209,13.26373481,22.17672222,66.84793481,14.53563901,2.826171119,4.731,0.955538342
USA,2003,1.14565E+13,30.06957401,2.795605965,9.035652405,13.59164488,-4.555992476,21.74561928,67.56673315,15.24362259,2.270094973,5.989,290107933,0.863185861,7791.303915,0.08044035,62082000,75880000,9.131385654,13.15499856,21.72266941,67.24191032,15.05903318,1.586031627,5.783,1.700447328
USA,2004,1.22172E+13,30.13386558,3.847771694,9.628747873,14.81930878,-5.190560911,22.65214539,67.38010915,15.15830637,2.677236693,5.529,292805298,0.929779814,7878.537171,-0.233039826,67606000,79655000,9.035652405,13.59164488,21.74561928,67.56673315,15.24362259,2.270094973,5.989,2.795605965
USA,2005,1.30392E+13,30.19898109,3.483549935,9.98205641,15.65650093,-5.674444523,23.37572628,67.25157999,15.04714592,3.392746845,5.084,295516599,0.925974024,7843.391057,-0.060543258,71484000,79215000,9.628747873,14.81930878,22.65214539,67.38010915,15.15830637,2.677236693,5.529,3.847771694
USA,2006,1.38156E+13,30.25681827,2.784539638,10.64138951,16.3338963,-5.692506787,23.53753005,67.15052126,15.00446271,3.225944101,4.623,298379912,0.968917824,7694.406579,0.490835488,183178000,148511000,9.98205641,15.65650093,23.37572628,67.25157999,15.04714592,3.392746845,5.084,3.483549935
USA,2007,1.44742E+13,30.3033908,2.003858299,11.4637893,16.54822627,-5.084436973,22.55756922,67.33757407,15.18929369,2.852672482,4.622,301231207,0.955592145,7756.014189,0.374478042,175299000,140364000,10.64138951,16.3338963,23.53753005,67.15052126,15.00446271,3.225944101,4.623,2.784539638
USA,2008,1.47699E+13,30.32360987,0.113587248,12.42584392,17.4419436,-5.016099676,21.03749514,68.04452878,15.93407576,3.839100297,5.784,304093966,0.95035273,7484.832689,0.582659543,175703000,136148000,11.4637893,16.54822627,22.55756922,67.33757407,15.18929369,2.852672482,4.622,2.003858299
USA,2009,1.44781E+13,30.303656,-2.576500232,10.93221906,13.82730858,-2.895089517,17.76875325,68.31863674,16.80769263,-0.355546266,9.254,306771529,0.88050514,7053.358467,0.447313607,160508000,129954000,12.42584392,17.4419436,21.03749514,68.04452878,15.93407576,3.839100297,5.784,0.113587248
USA,2010,1.5049E+13,30.34233073,2.695192582,12.34135543,15.87852751,-3.537172076,18.67221354,68.17912002,16.68583852,1.640043442,9.633,309378227,0.849719662,7162.55933,0.438403934,162275000,121574000,10.93221906,13.82730858,17.76875325,68.31863674,16.80769263,-0.355546266,9.254,-2.576500232
USA,2011,1.55997E+13,30.37827485,1.564406855,13.56346378,17.27901479,-3.715551011,19.03353211,68.5835949,16.098424,3.156841569,8.949,311839461,0.795542086,7009.64608,0.591247261,147271421.9,114089000,12.34135543,15.87852751,18.67221354,68.17912002,16.68583852,1.640043442,9.633,2.695192582
USA,2012,1.6254E+13,30.4193583,2.289113386,13.64405127,17.03778831,-3.393737038,19.95072588,67.96716741,15.4758499,2.069337265,8.069,314339099,0.801578476,6820.460621,0.632442117,171629890.6,116329000,13.56346378,17.27901479,19.03353211,68.5835949,16.098424,3.156841569,8.949,1.564406855
USA,2013,1.68807E+13,30.45719107,2.117830098,13.55349188,16.3878144,-2.834322521,20.37925835,67.46310561,14.99195264,1.464832656,7.375,316726282,0.75942923,6888.381437,0.643072605,179309906.3,118968000,13.64405127,17.03778831,19.95072588,67.96716741,15.4758499,2.069337265,8.069,2.289113386
USA,2014,1.76081E+13,30.4993823,2.523819814,13.50821421,16.39835512,-2.890140911,20.90119353,67.43728383,14.55165788,1.622222977,6.168,319257560,0.799200491,6915.641653,0.582419634,178311359.4,121699000,13.55349188,16.3878144,20.37925835,67.46310561,14.99195264,1.464832656,7.375,2.117830098
USA,2015,1.8295E+13,30.53764995,2.945550456,12.41114863,15.2770653,-2.865916674,21.41518957,67.21741038,14.23331673,0.118627136,5.28,321815121,0.801096456,6789.647333,0.662890196,176864531.3,130364000,13.50821421,16.39835512,20.90119353,67.43728383,14.55165788,1.622222977,6.168,2.523819814
USA,2016,1.88049E+13,30.56513928,1.819451476,11.88815923,14.56443856,-2.676279332,20.88795625,67.67831896,14.11000412,1.261583206,4.869,324353340,0.78871962,6663.496329,0.385635316,175261484.4,141526000,12.41114863,15.2770653,21.41518957,67.21741038,14.23331673,0.118627136,5.28,2.945550456
USA,2017,1.96121E+13,30.60716794,2.457622302,12.17748103,14.9478572,-2.770376169,21.15576902,67.76747337,13.84713377,2.130110004,4.355,326608609,0.695312402,6590.835097,0.262138307,174291750,148045000,11.88815923,14.56443856,20.88795625,67.67831896,14.11000412,1.261583206,4.869,1.819451476
USA,2018,2.06565E+13,30.65905193,2.966505069,12.28711076,15.15824837,-2.871137611,21.56907293,67.45785204,13.84421264,2.442583297,3.896,328529577,0.58815596,6738.272724,0.386239082,169324921.9,158445406.3,12.17748103,14.9478572,21.15576902,67.76747337,13.84713377,2.130110004,4.355,2.457622302
USA,2019,2.154E+13,30.70093195,2.58382533,11.78919741,14.46928321,-2.680085805,21.66980919,67.02671804,13.98355857,1.812210075,3.669,330226227,0.51643752,6700.93034,0.118298575,165478000,170930093.8,12.28711076,15.15824837,21.56907293,67.45785204,13.84421264,2.442583297,3.896,2.966505069
USA,2020,2.13541E+13,30.69226511,-2.163029139,10.07365563,13.00612224,-2.932466615,21.41881854,66.61790321,14.89574487,1.233584396,8.055,331577720,0.409262769,6141.531258,-0.027899733,45037000,60549898.44,11.78919741,14.46928321,21.66980919,67.02671804,13.98355857,1.812210075,3.669,2.58382533
USA,2021,2.36812E+13,30.79570138,6.055052933,10.7909782,14.42267783,-3.631699632,21.33328204,68.04538931,14.2530325,4.697858864,5.349,332099760,0.157441218,6445.834092,-0.014424653,,,10.07365563,13.00612224,21.41881854,66.61790321,14.89574487,1.233584396,8.055,-2.163029139
USA,2022,2.60069E+13,30.88938273,2.51237532,11.60222792,15.28946191,-3.687233996,21.94977309,68.02366203,13.71379503,8.002799821,3.65,334017321,0.577405115,6511.688414,0.008700687,,,10.7909782,14.42267783,21.33328204,68.04538931,14.2530325,4.697858864,5.349,6.055052933
USA,2023,2.77207E+13,30.95320087,2.887556009,11.01151129,13.88785186,-2.876340573,21.54103273,67.90147034,13.43383389,4.116338384,3.638,336806231,0.834959694,6363.500158,0.029424749,,,11.60222792,15.28946191,21.94977309,68.02366203,13.71379503,8.002799821,3.65,2.51237532
USA,2024,2.91849E+13,31.00467223,2.796190356,10.89687506,13.99111664,-3.094241575,21.74383045,67.93014467,13.42026645,2.949525205,4.106,340110988,0.981204234,,,,,11.01151129,13.88785186,21.54103273,67.90147034,13.43383389,4.116338384,3.638,2.887556009
USA,2025,,,,,,,,,,,,,0,,,,,10.89687506,13.99111664,21.74383045,67.93014467,13.42026645,2.949525205,4.106,2.796190356
